Brand,Product_Name,Duplicate_Count
l'or,L'or Double Barista Selection Coffee Capsules,2
lemnos,Lemnos Haloumi Salt Reduced,2
lemnos,Lemnos Organic Fetta Cheese,2
lemnos,Lemnos Organic Haloumi Cheese,2
lemnos,Lemnos Paneer Cheese,2
lemnos,Lemnos Reduced Fat Fetta Cheese,2
lemnos,Lemnos Smooth Fetta Cheese,2
lemnos,Lemnos Traditional Fetta,2
NULL,Lemon Fresh,2
lenny & larry,Lenny & Larry The Complete Cookie Chocolate Chip,2
lenny & larry,Lenny & Larry The Complete Cookie Double Chocolate,2
lexar,Lexar Usb 2.0 S60 16gb,2
libra,Libra Tampons Regular,2
libra,Libra Tampons Super,2
liddells,Liddells Full Cream Long Life Milk Lactose Free,2
liddells,Liddells Skim Long Life Milk Lactose Free,2
lifestyles,Lifestyles Condoms Regular,2
lifestyles,Lifestyles Condoms Ultra Thin,2
lavazza,Lavazza Ristretto Capsules Intensita 11,2
lavazza,Lavazza Tierra Bio-organic Coffee Beans,2
lavazza,Lavazza Vigoroso Coffee Capsules,2
lavazza,Lavazza Vigoroso Intensita 12,2
leap frog,Leap Frog Learning Lights Remote Assorted,2
lee kum kee,Lee Kum Kee Soy Sauce Premium,2
leggos,Leggos Fresh Napoli Sauce,2
lemnos,Lemnos Cheese Fetta,2
lemnos,Lemnos Haloumi,2
lemnos,Lemnos Haloumi Burger Slices,2
lavazza,Lavazza Deciso Coffee Capsules,2
lavazza,Lavazza Espresso Barista Gran Crema Coffee Beans,2
lavazza,Lavazza Espresso Barista Intenso Coffee Beans,2
lavazza,Lavazza Espresso Barista Perfetto Coffee Beans,2
lavazza,Lavazza Espresso Italiano Classico Ground Coffee,2
lavazza,Lavazza Ground Coffee Torino Qualita Oro Arabica,2
lavazza,Lavazza Prontissimo Espresso,2
lavazza,Lavazza Prontissimo! Intenso Premium Instant Coffee,2
hot kids,Hot Kids Ball Cake Honey Flavour,2
hoyt's,Hoyt's Cinnamon Dutch Ground,2
hoyt's,Hoyt's Cinnamon Sticks,2
hoyt's,Hoyt's Italian Herb Mix,2
hoyt's,Hoyt's Mixed Herbs,2
hoyt's,Hoyt's Oregano,2
hoyt's,Hoyt's Paprika Sweet,2
hoyt's,Hoyt's Poppy Seed,2
hoyt's,Hoyt's Turmeric,2
huggies,Huggies Baby Wipes Fragrance Free,2
huggies,Huggies Change Mat 48x76cm,2
huggies,Huggies Drynites Bed Mats,2
huggies,Huggies Ultra Dry Nappies Crawler 6-11kg Boy,2
huggies,Huggies Ultra Dry Nappies Toddler 10-15kg Boy,2
huggies,Huggies Ultra Dry Nappies Toddler 10-15kg Girl,2
huggies,Huggies Ultra Dry Nappies Walker 13-18kg Boy,2
huggies,Huggies Ultra Dry Nappies Walker 13-18kg Girl,2
hunter belle,Hunter Belle Cheddar Onion & Thyme,2
huy fong,Huy Fong Sriracha Hot Chilli Sauce,2
hydralyte,Hydralyte Effervescent Electrolyte Tablets Apple Blackcurrant,2
i&j,I&j Fish Fillets Original Crumb,2
NULL,Icare Recyclable 100% Recyled Paper Aloe Vera,2
NULL,Iceberg Lettuce,2
illy,Illy Classico Espresso Capsules,2
illy,Illy Espresso Forte Capsules,2
illy,Illy Espresso Intenso Capsules,2
illy,Illy Ground Coffee Espresso,2
infuzions,Infuzions Veggie Straws,2
initial brewing,Initial Brewing Craft Xpa Cans,2
inside out,Inside Out Barista Almond Uht Milk,2
inside out,Inside Out Barista Almond Unsweetened Uht Milk,2
inside out,Inside Out Barista Oat Unsweetened Uht Milk,2
inside out,Inside Out Milkish Almond Uht Milk,2
inside out,Inside Out Milkish Oat Uht Milk,2
inspire,Inspire Bobble Bath Mat 48x78cm,2
international roast,International Roast Instant Coffee,2
NULL,Italian Perfect Pasta Bundle,2
NULL,Italian Style Salad Kit,2
ito en,Ito En Matcha Green Tea Traditional,2
head & shoulders,Head & Shoulders Ultra Men Shampoo Hair Retain,2
head & shoulders,Head & Shoulders Supreme Moisture Conditioner,2
head & shoulders,Head & Shoulders Supreme Moisture Shampoo,2
head & shoulders,Head & Shoulders Supreme Purify & Volume Shampoo,2
head & shoulders,Head & Shoulders Ultra Men Shampoo Sports Fresh,2
hedy's,Hedy's Quiche Spinach & Feta,2
heinz,Heinz Baked Beans English Recipe,2
heinz,Heinz Baked Beans Salt Reduced Tomato Sauce,2
heinz,Heinz Canned Soup Big Red Tomato,2
heinz,Heinz Seriously Good Whole Egg Mayonnaise,2
head & shoulders,Head & Shoulders Dry Scalp Care Shampoo,2
head & shoulders,Head & Shoulders Itchy Scalp Care Shampoo,2
head & shoulders,Head & Shoulders Smooth & Silky Conditioner,2
harris,Harris Coffee Ground Strong,2
harris,Harris Coffee Ground Very Strong,2
harvest,Harvest Rice Bran Oil,2
hasbro,Hasbro Mr Potato Head Chips Assorted,2
head & shoulders,Head & Shoulders Apple Fresh Shampoo,2
head & shoulders,Head & Shoulders Clean & Balanced Conditioner,2
golden circle,Golden Circle Passion Pulp Puree Apple & Passionfruit,2
golden circle,Golden Circle Pine Orange Fruit Drink,2
golden circle,Golden Circle Pineapple Juice,2
golden circle,Golden Circle Puree Banana Berry Blast,2
golden circle,Golden Circle Puree Berry Buzz,2
golden circle,Golden Circle Puree Pineapple & Mango,2
golden circle,Golden Circle Puree Strawberry Squeeze,2
golden circle,Golden Circle Sunshine Punch Fruit Drink,2
golden circle,Golden Circle Tomato Juice,2
jacquin,Jacquin Chevre Ash,2
jacquin,Jacquin Chevre Plain,2
jalna,Jalna Greek Yoghurt,2
jamie oliver,Jamie Oliver Fish Fingers,2
jarlsberg,Jarlsberg Original Cheese Block,2
jarlsberg,Jarlsberg Shaved Cheese,2
jarlsberg,Jarlsberg Sliced Cheese,2
jarrah,Jarrah Brazilian Cafe Latte Brazil Delight,2
jarrah,Jarrah French Vanilla Latte French Style,2
jarrah,Jarrah Honey & Almond Latte,2
jarrah,Jarrah Salted Caramel Latte,2
jarrah,Jarrah Swiss Mochaccino Swiss Style Cocoa 98% Fat Free,2
jazz,Jazz Apple,2
jazz,Jazz Apple Snackers,2
jj snacks,Jj Snacks Multipack Chicken Chips,2
hercules,Hercules Click Zip Resealable Snack Size Sandwich Bags,2
hercules,Hercules Resealable Everyday Sandwich Bags,2
higher living,Higher Living Chai Green,2
higher living,Higher Living Cocoa Chilli Tea,2
higher living,Higher Living Ginger Kick Tea Bags,2
higher living,Higher Living Licorice Tea Bags,2
higher living,Higher Living Peppermint & Licorice Tea,2
higher living,Higher Living Rooibos African Tea,2
higher living,Higher Living Sweet Dreams Tea Bags,2
hillview,Hillview Cheese Block,2
hillview,Hillview Cheese Slices Full Fat,2
hillview,Hillview Cheese Slices Reduced Fat,2
holbrooks,Holbrooks Sauce Worcestershire,2
holland house,Holland House Caviar Black,2
home chef,Home Chef Quiche Lorraine,2
NULL,Honeydew Large,2
johnson's,Johnson's Baby Conditioning Shampoo,2
johnson's,Johnson's Baby Cottontouch Newborn Wash & Shampoo,2
johnson's,Johnson's Shampoo,2
julianne's kitchen,Julianne's Kitchen Apple And Thyme Paste Apple & Thyme,2
just caught,Just Caught Atlantic Salmon Skinless,2
just caught,Just Caught Crumbed Pollock Fillets,2
just caught,Just Caught Prawn Meat,2
just caught,Just Caught Raw Prawn Cutlets,2
just gloves,Just Gloves Multi Purpose Latex Free Disposable Gloves Medium,2
just gloves,Just Gloves Ultra Sensitive Latex Free Disposable Gloves Medium,2
just juice,Just Juice Apple & Blackcurrant Juice,2
just juice,Just Juice Apple Juice,2
just juice,Just Juice Orange Juice,2
just juice,Just Juice Paradise Punch,2
